COUNTRY;REGION;Fecha;cum_pos_pcr;cum_pos_zero;cum_pos_ag;cum_pos_total;cum_total_muestras
PE;AMAZONAS;2020-04-08;2;9;;11;
PE;AMAZONAS;2020-04-09;2;9;;11;
PE;AMAZONAS;2020-04-10;4;9;;13;
PE;AMAZONAS;2020-04-11;4;15;;19;
PE;AMAZONAS;2020-04-12;4;15;;19;
PE;AMAZONAS;2020-04-13;8;15;;23;
PE;AMAZONAS;2020-04-14;10;13;;23;
PE;AMAZONAS;2020-04-15;17;6;;23;
PE;AMAZONAS;2020-04-16;17;6;;23;
PE;AMAZONAS;2020-04-17;17;29;;46;
PE;AMAZONAS;2020-04-18;17;34;;51;
PE;AMAZONAS;2020-04-19;17;34;;51;
PE;AMAZONAS;2020-04-20;17;38;;55;335
PE;AMAZONAS;2020-04-21;17;41;;58;699
PE;AMAZONAS;2020-04-22;17;43;;60;705
PE;AMAZONAS;2020-04-23;17;47;;64;1215
PE;AMAZONAS;2020-04-24;17;48;;65;1324
PE;AMAZONAS;2020-04-25;17;50;;67;1333
PE;AMAZONAS;2020-04-26;21;57;;78;1405
PE;AMAZONAS;2020-04-27;21;63;;84;1593
PE;AMAZONAS;2020-04-28;21;87;;108;1852
PE;AMAZONAS;2020-04-29;21;98;;119;2052
PE;AMAZONAS;2020-04-30;22;100;;122;2278
PE;AMAZONAS;2020-05-01;23;106;;129;2497
PE;AMAZONAS;2020-05-02;23;113;;136;2553
PE;AMAZONAS;2020-05-03;23;132;;155;3064
PE;AMAZONAS;2020-05-04;23;141;;164;3116
PE;AMAZONAS;2020-05-05;23;147;;170;3203
PE;AMAZONAS;2020-05-06;23;153;;176;3403
PE;AMAZONAS;2020-05-07;23;163;;186;3533
PE;AMAZONAS;2020-05-08;30;177;;207;3968
PE;AMAZONAS;2020-05-09;30;191;;221;4040
PE;AMAZONAS;2020-05-10;39;198;;237;4117
PE;AMAZONAS;2020-05-11;39;203;;242;4151
PE;AMAZONAS;2020-05-12;42;207;;249;4238
PE;AMAZONAS;2020-05-13;42;217;;259;4398
PE;AMAZONAS;2020-05-14;42;227;;269;4519
PE;AMAZONAS;2020-05-15;44;226;;270;4535
PE;AMAZONAS;2020-05-16;44;226;;270;4664
PE;AMAZONAS;2020-05-17;85;226;;311;4718
PE;AMAZONAS;2020-05-18;88;229;;317;4741
PE;AMAZONAS;2020-05-19;88;237;;325;4793
PE;AMAZONAS;2020-05-20;92;257;;349;4959
PE;AMAZONAS;2020-05-21;94;277;;371;5052
PE;AMAZONAS;2020-05-22;96;303;;399;5142
PE;AMAZONAS;2020-05-23;113;324;;437;5357
PE;AMAZONAS;2020-05-24;114;337;;451;5601
PE;AMAZONAS;2020-05-25;115;345;;460;5729
PE;AMAZONAS;2020-05-26;115;396;;511;5995
PE;AMAZONAS;2020-05-27;114;419;;533;6367
PE;AMAZONAS;2020-05-28;118;428;;546;6564
PE;AMAZONAS;2020-05-29;118;445;;563;6725
PE;AMAZONAS;2020-05-30;121;461;;582;7072
PE;AMAZONAS;2020-05-31;133;472;;605;7464
PE;AMAZONAS;2020-06-01;133;475;;608;7558
PE;AMAZONAS;2020-06-02;137;500;;637;8006
PE;AMAZONAS;2020-06-03;137;517;;654;8176
PE;AMAZONAS;2020-06-04;139;541;;680;8476
PE;AMAZONAS;2020-06-05;149;583;;732;8594
PE;AMAZONAS;2020-06-06;150;608;;758;8818
PE;AMAZONAS;2020-06-07;150;621;;771;8992
PE;AMAZONAS;2020-06-08;150;673;;823;9137
PE;AMAZONAS;2020-06-09;150;723;;873;9315
PE;AMAZONAS;2020-06-10;150;776;;926;9769
PE;AMAZONAS;2020-06-11;150;845;;995;10183
PE;AMAZONAS;2020-06-12;150;883;;1033;10588
PE;AMAZONAS;2020-06-13;164;938;;1102;10875
PE;AMAZONAS;2020-06-14;175;995;;1170;11237
PE;AMAZONAS;2020-06-15;175;1004;;1179;11489
PE;AMAZONAS;2020-06-16;309;1040;;1349;11945
PE;AMAZONAS;2020-06-17;309;1098;;1407;12288
PE;AMAZONAS;2020-06-18;309;1131;;1440;12553
PE;AMAZONAS;2020-06-19;309;1174;;1483;12877
PE;AMAZONAS;2020-06-20;309;1256;;1565;13160
PE;AMAZONAS;2020-06-21;309;1286;;1595;13462
PE;AMAZONAS;2020-06-22;309;1303;;1612;13614
PE;AMAZONAS;2020-06-23;309;1346;;1655;13836
PE;AMAZONAS;2020-06-24;311;1378;;1689;14054
PE;AMAZONAS;2020-06-25;438;1407;;1845;14528
PE;AMAZONAS;2020-06-26;460;1456;;1916;14814
PE;AMAZONAS;2020-06-27;460;1511;;1971;15020
PE;AMAZONAS;2020-06-28;460;1560;;2020;15273
PE;AMAZONAS;2020-06-29;468;1584;;2052;15423
PE;AMAZONAS;2020-06-30;468;1687;;2155;15579
PE;AMAZONAS;2020-07-01;468;1786;;2254;15941
PE;AMAZONAS;2020-07-02;468;1861;;2329;16352
PE;AMAZONAS;2020-07-03;468;1980;;2448;16854
PE;AMAZONAS;2020-07-04;540;2022;;2562;17404
PE;AMAZONAS;2020-07-05;561;2156;;2717;18193
PE;AMAZONAS;2020-07-06;561;2299;;2860;18680
PE;AMAZONAS;2020-07-07;561;2387;;2948;19172
PE;AMAZONAS;2020-07-08;614;2469;;3083;19794
PE;AMAZONAS;2020-07-09;629;2538;;3167;20365
PE;AMAZONAS;2020-07-10;629;2609;;3238;20791
PE;AMAZONAS;2020-07-11;629;2638;;3267;21190
PE;AMAZONAS;2020-07-12;631;2702;;3333;21743
PE;AMAZONAS;2020-07-13;631;2775;;3406;22158
PE;AMAZONAS;2020-07-14;631;2826;;3457;22504
PE;AMAZONAS;2020-07-15;631;2903;;3534;22839
PE;AMAZONAS;2020-07-16;659;2942;;3601;23373
PE;AMAZONAS;2020-07-17;666;2987;;3653;23627
PE;AMAZONAS;2020-07-18;782;3064;;3846;24269
PE;AMAZONAS;2020-07-19;783;3211;;3994;25188
PE;AMAZONAS;2020-07-20;783;3396;;4179;26297
PE;AMAZONAS;2020-07-21;783;3495;;4278;27160
PE;AMAZONAS;2020-07-22;783;3529;;4312;27458
PE;AMAZONAS;2020-07-23;783;3586;;4369;27845
PE;AMAZONAS;2020-07-24;783;3746;;4529;28602
PE;AMAZONAS;2020-07-25;783;3746;;4529;28602
